question_1,question_2,rating_1,rating_2
Maybe,Option A,4,2
Yes,Option B,2,3
Yes,Option C,1,1
No,Option B,1,5
Maybe,Option C,3,1
Yes,Option B,2,4
Yes,Option C,4,2
Maybe,Option B,3,2
Yes,Option A,3,1
Maybe,Option A,4,3
Maybe,Option A,5,3
No,Option B,4,1
Yes,Option A,1,4
Maybe,Option B,3,3
Yes,Option A,4,4
No,Option B,1,2
Yes,Option B,1,1
Maybe,Option C,5,3
No,Option A,4,2
Yes,Option A,3,4
Yes,Option C,3,2
Yes,Option A,5,4
Maybe,Option B,1,3
Yes,Option C,2,3
Maybe,Option A,1,1
Maybe,Option B,1,1
Yes,Option B,2,3
No,Option C,4,4
No,Option C,1,2
Yes,Option C,1,2
Yes,Option A,1,1
Yes,Option C,1,2
Maybe,Option A,3,2
No,Option B,4,5
Yes,Option C,1,4
Maybe,Option C,2,3
Maybe,Option A,5,5
No,Option C,3,5
Yes,Option C,2,1
Maybe,Option C,2,2
Maybe,Option C,1,4
No,Option A,2,3
Maybe,Option A,5,2
Yes,Option B,2,1
No,Option A,5,5
Yes,Option B,1,1
Yes,Option C,1,5
Yes,Option C,3,3
Maybe,Option B,3,3
Maybe,Option A,2,3
Maybe,Option A,1,2
No,Option B,1,2
Maybe,Option B,3,3
Maybe,Option B,1,1
Yes,Option A,3,2
No,Option C,2,2
Maybe,Option B,1,5
No,Option C,1,5
Yes,Option A,4,2
Yes,Option C,3,5
Maybe,Option C,3,4
Yes,Option C,1,1
Yes,Option C,1,5
Maybe,Option C,5,1
No,Option C,1,5
Yes,Option A,2,2
Maybe,Option B,2,1
Maybe,Option B,5,3
Maybe,Option C,4,2
No,Option C,3,2
No,Option C,2,4
Maybe,Option C,5,5
Yes,Option B,2,1
Yes,Option A,4,1
Yes,Option B,3,5
Yes,Option B,5,2
No,Option A,5,2
Yes,Option A,5,4
No,Option A,3,5
Maybe,Option A,1,2
Yes,Option A,2,1
Maybe,Option A,3,1
No,Option C,1,2
No,Option C,5,5
Maybe,Option B,5,1
No,Option C,2,3
Yes,Option B,1,1
Maybe,Option A,2,2
Yes,Option C,3,1
Maybe,Option C,5,4
Yes,Option B,3,2
No,Option A,2,3
No,Option A,5,2
No,Option C,5,1
Maybe,Option B,1,4
Maybe,Option C,5,2
No,Option C,3,1
No,Option B,4,1
Yes,Option B,4,4
No,Option C,4,5
Yes,Option C,5,2
No,Option A,4,1
Maybe,Option A,4,2
Maybe,Option A,4,3
Yes,Option C,3,2
Yes,Option B,2,2
Yes,Option A,3,3
No,Option B,2,2
Yes,Option C,1,3
Maybe,Option B,5,2
No,Option B,1,5
No,Option C,4,4
Maybe,Option A,3,2
Maybe,Option B,2,1
No,Option A,3,5
No,Option A,2,4
Maybe,Option A,3,2
Maybe,Option A,5,4
No,Option C,2,4
Yes,Option B,2,1
No,Option B,3,5
Maybe,Option C,2,5
No,Option B,4,3
Yes,Option A,2,3
Yes,Option B,2,4
No,Option C,3,1
No,Option A,1,2
Yes,Option C,5,2
Yes,Option A,5,1
Maybe,Option C,2,3
Maybe,Option A,5,2
No,Option A,4,4
Maybe,Option C,5,2
No,Option A,2,4
Maybe,Option C,4,2
No,Option B,2,3
No,Option B,3,5
Maybe,Option C,1,5
Yes,Option A,2,4
No,Option B,3,4
